hc,male,time,date,tr,hc_pct
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,1,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
0,0,12 - 13,2019-04-02,01. Baseline,0
